epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,849.142,1.17737,2.11764,1.15602,1.06206,0,0.89323,0.7971,0.84353,0.62482,0.8597,0.76812,0.82502,0.5216,0.99267,1.44362,1.34441,0.99975,0,0.00112237,0.00112237,0.00112237
44,870.966,1.03677,1.98994,1.03328,1.0431,0,0.88993,0.78261,0.85017,0.62004,0.89204,0.78261,0.85263,0.53779,1.0479,1.38086,1.27786,1.00832,0,0.0011416,0.0011416,0.0011416
45,891.167,1.01175,1.81187,0.97132,1.02156,0,0.88993,0.78261,0.85017,0.62004,0.89204,0.78261,0.85263,0.53779,1.0479,1.38086,1.27786,1.00832,0,0.0011605,0.0011605,0.0011605
46,914.897,1.07834,1.89846,1.03908,1.02953,0,0.92523,0.78261,0.88017,0.64691,0.92523,0.78261,0.87282,0.57789,0.97838,1.34272,1.17119,0.98388,0,0.00117906,0.00117906,0.00117906
47,937.075,1.05042,1.64808,1.02602,1.04491,0,0.92523,0.78261,0.88017,0.64691,0.92523,0.78261,0.87282,0.57789,0.97838,1.34272,1.17119,0.98388,0,0.0011973,0.0011973,0.0011973
48,964.089,1.1618,2.04269,1.20095,1.09323,0,0.91076,0.84058,0.86716,0.67801,0.9362,0.85065,0.87962,0.57528,0.91023,1.37299,1.1547,0.96571,0,0.00121521,0.00121521,0.00121521
49,986.36,1.06222,1.76833,1.03582,1.06192,0,0.91076,0.84058,0.86716,0.67801,0.9362,0.85065,0.87962,0.57528,0.91023,1.37299,1.1547,0.96571,0,0.00123279,0.00123279,0.00123279
50,1010.68,1.17163,1.88985,1.08456,1.08004,0,0.91219,0.75277,0.82937,0.60749,0.94579,0.75856,0.84405,0.47891,0.98835,1.56359,1.20056,0.98226,0,0.00125004,0.00125004,0.00125004
51,1033.28,1.1294,1.87849,1.04331,1.05643,0,0.91219,0.75277,0.82937,0.60749,0.94579,0.75856,0.84405,0.47891,0.98835,1.56359,1.20056,0.98226,0,0.00125442,0.00125442,0.00125442
52,1053.58,1.1869,2.06746,1.11754,1.14504,0,0.92716,0.73795,0.82606,0.59653,0.92676,0.73366,0.80177,0.4471,0.91502,1.57716,1.23923,0.97687,0,0.00124617,0.00124617,0.00124617
53,1072.54,1.03534,1.83092,0.95475,1.02102,0,0.92716,0.73795,0.82606,0.59653,0.92676,0.73366,0.80177,0.4471,0.91502,1.57716,1.23923,0.97687,0,0.00123791,0.00123791,0.00123791
54,1091.95,0.93396,1.78029,0.98142,1.06415,0,0.91978,0.72464,0.83221,0.62576,0.90138,0.71014,0.79463,0.50717,0.93851,1.55021,1.23612,0.99568,0,0.00122966,0.00122966,0.00122966
55,1113.19,0.9518,1.78289,0.90454,1.00374,0,0.91978,0.72464,0.83221,0.62576,0.90138,0.71014,0.79463,0.50717,0.93851,1.55021,1.23612,0.99568,0,0.00122141,0.00122141,0.00122141
56,1133.7,1.06427,1.85288,0.92734,1.06968,0,0.8419,0.76812,0.83377,0.63899,0.82328,0.75362,0.81212,0.51936,0.9335,1.4662,1.16084,1.00539,0,0.00121316,0.00121316,0.00121316
57,1154.22,1.0022,1.73209,0.98502,1.02688,0,0.8419,0.76812,0.83377,0.63899,0.82328,0.75362,0.81212,0.51936,0.9335,1.4662,1.16084,1.00539,0,0.00120491,0.00120491,0.00120491
58,1175.58,1.12657,2.02459,1.11057,1.0889,0,0.94568,0.75692,0.85735,0.67358,0.96368,0.76908,0.8797,0.56758,0.84976,1.29595,1.09755,0.98887,0,0.00119666,0.00119666,0.00119666
59,1197,1.06715,1.88675,1.1641,1.07366,0,0.94568,0.75692,0.85735,0.67358,0.96368,0.76908,0.8797,0.56758,0.84976,1.29595,1.09755,0.98887,0,0.0011884,0.0011884,0.0011884
60,1217.92,1.13478,1.978,1.11611,1.12489,0,0.90468,0.82527,0.86604,0.64966,0.90468,0.82527,0.88891,0.55437,0.90325,1.30346,1.08747,0.97836,0,0.00118015,0.00118015,0.00118015
61,1239.36,1.06655,1.75634,1.03919,1.05703,0,0.90468,0.82527,0.86604,0.64966,0.90468,0.82527,0.88891,0.55437,0.90325,1.30346,1.08747,0.97836,0,0.0011719,0.0011719,0.0011719
62,1264.22,0.92415,1.54561,0.88846,0.99545,0,0.93104,0.78265,0.86352,0.66772,0.96552,0.81164,0.90293,0.6129,0.86708,1.20783,1.08719,0.96551,0,0.00116365,0.00116365,0.00116365
63,1281.31,0.81588,1.46601,1.18273,1.00732,0,0.93104,0.78265,0.86352,0.66772,0.96552,0.81164,0.90293,0.6129,0.86708,1.20783,1.08719,0.96551,0,0.0011554,0.0011554,0.0011554
64,1305.34,0.80598,1.34259,0.88377,0.96872,0,0.91663,0.7971,0.85729,0.67548,0.94155,0.82609,0.87665,0.63192,0.86929,1.1899,1.13157,0.96845,0,0.00114715,0.00114715,0.00114715
65,1329.22,1.10433,1.89036,0.96865,1.04559,0,0.91663,0.7971,0.85729,0.67548,0.94155,0.82609,0.87665,0.63192,0.86929,1.1899,1.13157,0.96845,0,0.00113889,0.00113889,0.00113889
66,1351.89,0.95749,1.85194,0.9734,1.01112,0,0.88291,0.78261,0.85372,0.66197,0.919,0.81159,0.86997,0.61835,0.87568,1.24748,1.17559,0.96391,0,0.00113064,0.00113064,0.00113064
67,1372.27,1.08458,1.74913,0.9575,1.06735,0,0.88291,0.78261,0.85372,0.66197,0.919,0.81159,0.86997,0.61835,0.87568,1.24748,1.17559,0.96391,0,0.00112239,0.00112239,0.00112239
68,1390.89,1.02017,1.79015,0.95899,1.01702,0,0.90647,0.84283,0.89715,0.70116,0.89089,0.82833,0.8881,0.52688,0.84924,1.48936,1.05728,0.96091,0,0.00111414,0.00111414,0.00111414
69,1410.65,0.87848,1.55929,0.86486,0.98137,0,0.90647,0.84283,0.89715,0.70116,0.89089,0.82833,0.8881,0.52688,0.84924,1.48936,1.05728,0.96091,0,0.00110589,0.00110589,0.00110589
70,1426.82,0.81349,1.43447,0.86739,0.96697,0,0.89843,0.76922,0.8933,0.69142,0.88185,0.75724,0.84762,0.52449,0.84405,1.45833,1.00071,0.96525,0,0.00109764,0.00109764,0.00109764
71,1443.54,0.9231,1.60114,0.87678,0.98489,0,0.89843,0.76922,0.8933,0.69142,0.88185,0.75724,0.84762,0.52449,0.84405,1.45833,1.00071,0.96525,0,0.00108938,0.00108938,0.00108938
72,1457.1,0.859,1.49106,0.81459,0.97891,0,0.88673,0.7971,0.87837,0.67074,0.93909,0.82609,0.91198,0.5845,0.91581,1.25328,0.98604,0.98411,0,0.00108113,0.00108113,0.00108113
73,1472.88,0.87264,1.50261,0.78731,0.96627,0,0.88673,0.7971,0.87837,0.67074,0.93909,0.82609,0.91198,0.5845,0.91581,1.25328,0.98604,0.98411,0,0.00107288,0.00107288,0.00107288
74,1488.07,1.03073,1.8502,0.92495,1.06751,0,0.91853,0.81709,0.8925,0.69828,0.9674,0.86013,0.92307,0.61092,0.89237,1.19897,0.94516,0.9771,0,0.00106463,0.00106463,0.00106463
75,1501.62,0.85951,1.35233,0.805,0.96272,0,0.91853,0.81709,0.8925,0.69828,0.9674,0.86013,0.92307,0.61092,0.89237,1.19897,0.94516,0.9771,0,0.00105638,0.00105638,0.00105638
76,1516.52,1.04395,1.97733,1.00285,1.0467,0,0.94988,0.84058,0.89809,0.70816,0.98359,0.86869,0.92607,0.61624,0.82644,1.22002,0.88688,0.96804,0,0.00104813,0.00104813,0.00104813
77,1532.81,0.94461,1.79033,0.8836,1.00747,0,0.94988,0.84058,0.89809,0.70816,0.98359,0.86869,0.92607,0.61624,0.82644,1.22002,0.88688,0.96804,0,0.00103987,0.00103987,0.00103987
78,1551.48,0.95992,1.77028,0.86097,0.98468,0,0.95875,0.7971,0.90288,0.70049,0.92413,0.85507,0.91714,0.57217,0.85392,1.35864,0.86737,0.97971,0,0.00103162,0.00103162,0.00103162
79,1566.18,0.87781,1.55092,0.78056,0.98341,0,0.95875,0.7971,0.90288,0.70049,0.92413,0.85507,0.91714,0.57217,0.85392,1.35864,0.86737,0.97971,0,0.00102337,0.00102337,0.00102337
80,1584.9,1.00348,1.73673,0.87847,0.98733,0,0.90775,0.82609,0.90592,0.69964,0.92368,0.84058,0.91626,0.58041,0.85348,1.26733,0.8265,0.98036,0,0.00101512,0.00101512,0.00101512
81,1600.97,0.84855,1.48433,0.82112,0.98451,0,0.90775,0.82609,0.90592,0.69964,0.92368,0.84058,0.91626,0.58041,0.85348,1.26733,0.8265,0.98036,0,0.00100687,0.00100687,0.00100687
82,1618.02,0.87813,1.39172,0.7707,0.95826,0,0.94155,0.88406,0.92383,0.72256,0.94155,0.88406,0.9289,0.64777,0.79819,1.13185,0.80586,0.95642,0,0.000998616,0.000998616,0.000998616
83,1635.85,0.9107,1.69201,0.85986,0.99741,0,0.94155,0.88406,0.92383,0.72256,0.94155,0.88406,0.9289,0.64777,0.79819,1.13185,0.80586,0.95642,0,0.000990365,0.000990365,0.000990365
84,1652.61,0.93072,1.65656,0.84272,1.02045,0,0.93324,0.88406,0.91317,0.73989,0.94854,0.89855,0.93556,0.65391,0.77778,1.13957,0.80943,0.93724,0,0.000982113,0.000982113,0.000982113
85,1667.7,0.90144,1.48634,0.79066,0.99134,0,0.93324,0.88406,0.91317,0.73989,0.94854,0.89855,0.93556,0.65391,0.77778,1.13957,0.80943,0.93724,0,0.000973861,0.000973861,0.000973861
